Rt_GeneID_curateA,Rt_GeneID_curateB,assays
ENSRNOG00000000632,ENSRNOG00000011287,1
ENSRNOG00000000632,ENSRNOG00000011678,1
ENSRNOG00000000632,ENSRNOG00000011887,1
ENSRNOG00000000632,ENSRNOG00000012787,1
ENSRNOG00000000632,ENSRNOG00000012791,1
ENSRNOG00000000632,ENSRNOG00000014816,1
ENSRNOG00000000632,ENSRNOG00000015440,1
ENSRNOG00000000632,ENSRNOG00000016751,1
ENSRNOG00000000632,ENSRNOG00000016888,1
ENSRNOG00000000632,ENSRNOG00000017401,1
ENSRNOG00000000632,ENSRNOG00000017863,1
ENSRNOG00000000632,ENSRNOG00000018183,1
ENSRNOG00000000632,ENSRNOG00000019028,1
ENSRNOG00000000632,ENSRNOG00000020277,1
ENSRNOG00000000632,ENSRNOG00000021240,1
ENSRNOG00000000632,ENSRNOG00000023148,1
ENSRNOG00000000632,ENSRNOG00000024322,1
ENSRNOG00000000632,ENSRNOG00000024743,1
ENSRNOG00000000632,ENSRNOG00000025539,1
ENSRNOG00000000632,ENSRNOG00000027907,1
ENSRNOG00000000632,ENSRNOG00000028441,1
ENSRNOG00000000632,ENSRNOG00000029450,1
ENSRNOG00000000632,ENSRNOG00000033915,1
ENSRNOG00000000632,ENSRNOG00000046021,1
ENSRNOG00000000632,ENSRNOG00000048736,1
ENSRNOG00000000632,ENSRNOG00000051671,1
ENSRNOG00000000632,ENSRNOG00000051711,1
ENSRNOG00000000632,ENSRNOG00000053562,1
ENSRNOG00000000632,ENSRNOG00000054508,1
ENSRNOG00000000632,ENSRNOG00000064601,1
ENSRNOG00000000632,ENSRNOG00000069458,1
ENSRNOG00000000632,ENSRNOG00000069633,1
ENSRNOG00000000635,ENSRNOG00000011148,1
ENSRNOG00000000636,ENSRNOG00000004621,1
ENSRNOG00000000641,ENSRNOG00000004760,1
ENSRNOG00000000641,ENSRNOG00000008479,1
ENSRNOG00000000641,ENSRNOG00000014197,1
ENSRNOG00000000641,ENSRNOG00000019730,1
ENSRNOG00000000648,ENSRNOG00000004143,1
ENSRNOG00000000648,ENSRNOG00000006137,1
ENSRNOG00000000648,ENSRNOG00000017215,1
ENSRNOG00000000655,ENSRNOG00000020857,1
ENSRNOG00000000655,ENSRNOG00000070996,1
ENSRNOG00000000661,ENSRNOG00000028658,1
ENSRNOG00000000661,ENSRNOG00000062986,1
ENSRNOG00000000663,ENSRNOG00000004760,1
ENSRNOG00000000691,ENSRNOG00000005052,1
ENSRNOG00000000691,ENSRNOG00000011544,1
ENSRNOG00000000691,ENSRNOG00000018598,1
ENSRNOG00000000691,ENSRNOG00000052687,1
ENSRNOG00000000695,ENSRNOG00000004760,1
ENSRNOG00000000695,ENSRNOG00000009566,1
ENSRNOG00000000702,ENSRNOG00000004760,1
ENSRNOG00000000708,ENSRNOG00000000307,1
ENSRNOG00000000708,ENSRNOG00000002339,1
ENSRNOG00000000708,ENSRNOG00000004760,1
ENSRNOG00000000708,ENSRNOG00000006554,1
ENSRNOG00000000708,ENSRNOG00000010649,1
ENSRNOG00000000708,ENSRNOG00000017895,1
ENSRNOG00000000708,ENSRNOG00000030682,1
ENSRNOG00000000708,ENSRNOG00000038406,1
ENSRNOG00000000708,ENSRNOG00000042140,1
ENSRNOG00000000708,ENSRNOG00000048738,1
ENSRNOG00000000708,ENSRNOG00000058359,1
ENSRNOG00000000708,ENSRNOG00000061862,1
ENSRNOG00000000708,ENSRNOG00000069633,1
ENSRNOG00000000718,ENSRNOG00000012653,1
ENSRNOG00000000718,ENSRNOG00000018430,1
ENSRNOG00000000718,ENSRNOG00000046000,1
ENSRNOG00000000774,ENSRNOG00000002104,1
ENSRNOG00000000774,ENSRNOG00000004760,1
ENSRNOG00000000774,ENSRNOG00000018978,1
ENSRNOG00000000774,ENSRNOG00000019907,1
ENSRNOG00000000774,ENSRNOG00000020369,1
ENSRNOG00000000774,ENSRNOG00000059714,1
ENSRNOG00000000774,ENSRNOG00000059870,1
ENSRNOG00000000774,ENSRNOG00000060662,1
ENSRNOG00000000779,ENSRNOG00000004760,1
ENSRNOG00000000779,ENSRNOG00000053145,1
ENSRNOG00000000783,ENSRNOG00000008065,1
ENSRNOG00000000798,ENSRNOG00000006462,1
ENSRNOG00000000798,ENSRNOG00000009204,1
ENSRNOG00000000799,ENSRNOG00000004760,1
ENSRNOG00000000799,ENSRNOG00000010591,1
ENSRNOG00000000799,ENSRNOG00000020726,1
ENSRNOG00000000800,ENSRNOG00000004760,1
ENSRNOG00000000800,ENSRNOG00000010217,1
ENSRNOG00000000800,ENSRNOG00000010240,1
ENSRNOG00000000800,ENSRNOG00000017613,1
